LJ0001|It seems like a strange pointing of the hand of God.|It seems like a strange pointing of the hand of God.
LJ0002|Such things had occurred before, he told Philip.|Such things had occurred before, he told Philip.
LJ0003|Ah, I had forgotten, he exclaimed.|Ah, I had forgotten, he exclaimed.
LJ0004|But there was something even more startling than this resemblance.|But there was something even more startling than this resemblance.
LJ0005|I have to be careful of them, as they tear very easily.|I have to be careful of them, as they tear very easily.
LJ0006|Of course, that is uninteresting, she continued.|Of course, that is uninteresting, she continued.
LJ0007|A moment before he was intoxicated by a joy that was almost madness.|A moment before he was intoxicated by a joy that was almost madness.
LJ0008|Now these things had been struck dead within him.|Now these things had been struck dead within him.
LJ0009|For an instant he saw Pierre drawn like a silhouette against the sky.|For an instant he saw Pierre drawn like a silhouette against the sky.
LJ0010|Goodbye, Pierre, he shouted.|Goodbye, Pierre, he shouted.
LJ0011|And MacDougall was beyond the trail, with three weeks to spare.|And MacDougall was beyond the trail, with three weeks to spare.
LJ0012|Philip thrust himself against it and entered.|Philip thrust himself against it and entered.
LJ0013|MacDougall tapped his forehead suspiciously with a stubby forefinger.|MacDougall tapped his forehead suspiciously with a stubby forefinger.
LJ0014|He was smooth-shaven, and his hair and eyes were black.|He was smooth-shaven, and his hair and eyes were black.
LJ0015|Won't you draw up, gentlemen.|Won't you draw up, gentlemen.
LJ0016|A strange fire burned in his eyes when Thorpe turned.|A strange fire burned in his eyes when Thorpe turned.
LJ0017|He had worshiped her, as Dante might have worshiped Beatrice.|He had worshiped her, as Dante might have worshiped Beatrice.
LJ0018|Does that look good.|Does that look good.
LJ0019|They look as though he had been drumming a piano all his life.|They look as though he had been drumming a piano all his life.
LJ0020|You want to go over and see his gang throw dirt.|You want to go over and see his gang throw dirt.
LJ0021|Take away their foreman and they wouldn't be worth their grub.|Take away their foreman and they wouldn't be worth their grub.
LJ0022|That's the sub-foreman, explained Thorpe.|That's the sub-foreman, explained Thorpe.
LJ0023|Philip made no effort to follow.|Philip made no effort to follow.
LJ0024|He came first a year ago, and revealed himself to Jeanne.|He came first a year ago, and revealed himself to Jeanne.
LJ0025|They are to attack your camp tomorrow night.|They are to attack your camp tomorrow night.
LJ0026|Two days ago Jeanne learned where her father's men were hiding.|Two days ago Jeanne learned where her father's men were hiding.
LJ0027|I was near the cabin, and saw you.|I was near the cabin, and saw you.
LJ0028|Low bush whipped him in the face and left no sting.|Low bush whipped him in the face and left no sting.
LJ0029|There was none of the joy of meeting in his face.|There was none of the joy of meeting in his face.
LJ0030|And when you come back in a few days, bring Eileen.|And when you come back in a few days, bring Eileen.
LJ0031|Gregson had left the outer door slightly ajar.|Gregson had left the outer door slightly ajar.
LJ0032|The date was nearly eighteen years old.|The date was nearly eighteen years old.
LJ0033|They were the presage of storm.|They were the presage of storm.
LJ0034|Down there the earth was already swelling with life.|Down there the earth was already swelling with life.
LJ0035|For the first time in his life he was yearning for a scrap.|For the first time in his life he was yearning for a scrap.
LJ0036|She had been thoroughly and efficiently mauled.|She had been thoroughly and efficiently mauled.
LJ0037|Every bone in her aged body seemed broken or dislocated.|Every bone in her aged body seemed broken or dislocated.
LJ0038|Tomorrow I'm going after that bear, he said.|Tomorrow I'm going after that bear, he said.
LJ0039|If not, let's say our prayers and go to bed.|If not, let's say our prayers and go to bed.
LJ0040|So cheer up, and give us your paw.|So cheer up, and give us your paw.
LJ0041|This time he did not yap for mercy.|This time he did not yap for mercy.
LJ0042|And the air was growing chilly.|And the air was growing chilly.
LJ0043|Don't you see, I'm chewing this thing in two.|Don't you see, I'm chewing this thing in two.
LJ0044|The questions may have come vaguely in his mind.|The questions may have come vaguely in his mind.
LJ0045|Like a flash he launched himself into the feathered mass of the owl.|Like a flash he launched himself into the feathered mass of the owl.
LJ0046|Ahead of them they saw a glimmer of sunshine.|Ahead of them they saw a glimmer of sunshine.
LJ0047|Two gigantic owls were tearing at the carcass.|Two gigantic owls were tearing at the carcass.
LJ0048|The big-eyed, clucking moose-birds were most annoying.|The big-eyed, clucking moose-birds were most annoying.
LJ0049|Next to them the Canada jays were most persistent.|Next to them the Canada jays were most persistent.
LJ0050|He it was that lived to found the family of the Patino.|He it was that lived to found the family of the Patino.
LJ0051|Straight out they swam, their heads growing smaller and smaller.|Straight out they swam, their heads growing smaller and smaller.
LJ0052|You won't die of malnutrition, be sure of that.|You won't die of malnutrition, be sure of that.
LJ0053|See the length of the body and that elongated neck.|See the length of the body and that elongated neck.
LJ0054|They are coming ashore, whoever they are.|They are coming ashore, whoever they are.
LJ0055|Soaked in seawater they offset the heat rays.|Soaked in seawater they offset the heat rays.
LJ0056|Think of investing in such an adventure.|Think of investing in such an adventure.
LJ0057|Nobody knew his history, they of the Junta least of all.|Nobody knew his history, they of the Junta least of all.
LJ0058|I have been doubly baptized.|I have been doubly baptized.
LJ0059|They wouldn't be sweeping a big vessel like the Martha.|They wouldn't be sweeping a big vessel like the Martha.
LJ0060|Joan looked triumphantly at Sheldon, who bowed.|Joan looked triumphantly at Sheldon, who bowed.
LJ0061|And I hope you've got plenty of chain out, Captain Young.|And I hope you've got plenty of chain out, Captain Young.
LJ0062|The discovery seemed to have been made on the spur of the moment.|The discovery seemed to have been made on the spur of the moment.
LJ0063|They handled two men already, both grub-thieves.|They handled two men already, both grub-thieves.
LJ0064|Eli Harding asked, as Shunk started to follow.|Eli Harding asked, as Shunk started to follow.
LJ0065|Now go ahead and tell me in a straightforward way what has happened.|Now go ahead and tell me in a straightforward way what has happened.
LJ0066|That's where they cut off the Scottish Chiefs and killed all hands.|That's where they cut off the Scottish Chiefs and killed all hands.
LJ0067|And after the bath a shave would not be bad.|And after the bath a shave would not be bad.
LJ0068|Now please give a plain statement of what occurred.|Now please give a plain statement of what occurred.
LJ0069|You can take a vacation on pay.|You can take a vacation on pay.
LJ0070|They are big trees and require plenty of room.|They are big trees and require plenty of room.
